술이름,기준가_TWD,정가_TWD,환율_TWDKRW,기준가_KRW,반입추정가_KRW_관세20,반입추정가_KRW_FTA0,재고,출처,가져온날짜,URL,비고
波摩 27年 時光永恆系列,46500.0,48000.0,47.9489,2229624,5697849,4748207,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/波摩-27年-時光永恆系列-bowmore-27y-timeless-series,할인중
格蘭傑 23年 森羅萬象限量版,39800.0,46800.0,47.9489,1908366,4876867,4064056,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭傑-23年-森羅萬象限量版-glenmorangie-azuma-23y-extraordinarily-rare-release,할인중
雅柏 VINTAGE Y2K 23年,26880.0,31650.0,47.9489,1288866,3293723,2744769,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/雅柏-y2k-23年-ardbeg-y2k-23y-islay-single-malt-scotch-whisky,할인중
山崎+白州+響 2024限定套組,25000.0,28500.0,47.9489,1198722,3063358,2552798,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/山崎-白州-響-2024限定套組-yamazaki-hakushu-story-of-the-distillery-hibiki-blossom-harmony-2024-limited-edition,할인중
格蘭帝 坎貝爾鎮圖騰系列 美人魚,3900.0,3980.0,47.9489,187001,477885,398237,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭帝-坎貝爾鎮圖騰系列-美人魚-glen-scotia-icons-of-campbeltown-the-mermaid-limited-edition,할인중
格蘭帝 坎貝爾鎮嘉年華2024,2600.0,2680.0,47.9489,124667,318589,265491,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭帝-坎貝爾鎮嘉年華2024-glen-scotia-campbeltown-festival-2024-single-malt-scotch-whisky,할인중
噶瑪蘭 十五週年紀念版 Vintage 2009 Oloroso雪莉桶原酒,11400.0,12000.0,47.9489,546617,1396891,1164076,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/噶瑪蘭-十五週年紀念版-vintage-2009-oloroso雪莉桶原酒-kavalan-15th-anniversary-vintage-2009-oloroso-sherry-cask-single-cask-strength,할인중
慕赫 14年,1780.0,2400.0,47.9489,85349,218111,181759,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/慕赫-14年-mortlach-14y-2-81-distilled,할인중
遠慕 21年 HEATHER VALLEY 三桶熟成,2390.0,2600.0,47.9489,114598,292857,244048,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/遠慕-21年-heather-valley-三桶熟成-wildmoor-heather-valley-21y-triple-oak-matured-blended-scotch-whisky,할인중
格蘭路思 時淬之藝 25年,16800.0,19500.0,47.9489,805542,2058579,1715482,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭路思-時淬之藝-25年-the-glenrothes-25y,할인중
雅柏 怖思議限定版,3500.0,3800.0,47.9489,167821,428870,357392,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/雅柏-怖思議限量版-ardbeg-spetacular-islay-single-malt-scotch-whisky,할인중
格蘭多納 28年單桶原酒 1993#4198,23900.0,28000.0,47.9489,1145979,2928572,2440477,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭多納-28年單桶原酒-1993-4198-glendronach-cask-bottling-1993-4198-28y,할인중
格蘭路思 時淬之藝 18年,3200.0,3700.0,47.9489,153436,392109,326757,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭路思-18年-新包裝-the-glenrothes-18y,할인중
響 車輪限定版,6699.0,8500.0,47.9489,321210,820859,684049,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/響-車輪限定版-hibiki-japanese-harmony-masters-select-limited-edition,할인중
