video_id,t_sec,frame,crop,method,w,h
Yce2Z9qVmgY,370.4,Yce2Z9qVmgY_000610_1.jpg,Yce2Z9qVmgY_000610_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,373.2,Yce2Z9qVmgY_000613_1.jpg,Yce2Z9qVmgY_000613_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,375.4,Yce2Z9qVmgY_000615_1.jpg,Yce2Z9qVmgY_000615_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,379.2,Yce2Z9qVmgY_000619_1.jpg,Yce2Z9qVmgY_000619_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,385.2,Yce2Z9qVmgY_000625_1.jpg,Yce2Z9qVmgY_000625_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,391.2,Yce2Z9qVmgY_000631_1.jpg,Yce2Z9qVmgY_000631_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,397.2,Yce2Z9qVmgY_000637_1.jpg,Yce2Z9qVmgY_000637_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,403.2,Yce2Z9qVmgY_000643_1.jpg,Yce2Z9qVmgY_000643_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,409.2,Yce2Z9qVmgY_000649_1.jpg,Yce2Z9qVmgY_000649_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,415.2,Yce2Z9qVmgY_000655_1.jpg,Yce2Z9qVmgY_000655_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,421.2,Yce2Z9qVmgY_000701_1.jpg,Yce2Z9qVmgY_000701_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,425.4,Yce2Z9qVmgY_000705_1.jpg,Yce2Z9qVmgY_000705_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,427.2,Yce2Z9qVmgY_000707_1.jpg,Yce2Z9qVmgY_000707_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,433.2,Yce2Z9qVmgY_000713_1.jpg,Yce2Z9qVmgY_000713_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,439.2,Yce2Z9qVmgY_000719_1.jpg,Yce2Z9qVmgY_000719_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,445.4,Yce2Z9qVmgY_000725_1.jpg,Yce2Z9qVmgY_000725_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,446.8,Yce2Z9qVmgY_000727_1.jpg,Yce2Z9qVmgY_000727_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,451.2,Yce2Z9qVmgY_000731_1.jpg,Yce2Z9qVmgY_000731_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,457.2,Yce2Z9qVmgY_000737_1.jpg,Yce2Z9qVmgY_000737_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,460.4,Yce2Z9qVmgY_000740_1.jpg,Yce2Z9qVmgY_000740_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,463.2,Yce2Z9qVmgY_000743_1.jpg,Yce2Z9qVmgY_000743_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,469.4,Yce2Z9qVmgY_000749_1.jpg,Yce2Z9qVmgY_000749_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,471.0,Yce2Z9qVmgY_000751_1.jpg,Yce2Z9qVmgY_000751_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,475.2,Yce2Z9qVmgY_000755_1.jpg,Yce2Z9qVmgY_000755_1.jpg,roi_fallback,384,360
Yce2Z9qVmgY,480.2,Yce2Z9qVmgY_000800_1.jpg,Yce2Z9qVmgY_000800_1.jpg,roi_fallback,384,360
