위스키명,브랜드,표시가_USD,마일리지할인율_%,할인가_USD,정상가_USD,할인율_%,누적판매,리뷰수,평점,재고,구매가능,소분류,상품코드,SKU,상품URL
아케시 리슌 700ml,아케시,252.5,50.0,252.5,505.0,50.0,134,0,0.0,6,Y,1220:싱글몰트 위스키,5513163,276131000004,https://www.shilladfs.com/estore/kr/ko/p/5513163
딩글 캐스크 스트렝스 배치6 700ml,딩글,139.68,52.0,174.6,291.0,40.0,39,0,0.0,0,N,1220:싱글몰트 위스키,5512993,266631000004,https://www.shilladfs.com/estore/kr/ko/p/5512993
오켄토션 18년 700ml,오켄토션,52.92,50.0,94.5,105.0,10.0,47,0,0.0,3,Y,1220:싱글몰트 위스키,5489104,114231000050,https://www.shilladfs.com/estore/kr/ko/p/5489104
더바이스 더 밀레니얼 레드 750ml,신세계 L&B,34.19050000000001,44.0,57.95,61.0,5.0,4,0,0.0,2,Y,1221:와인/샴페인,5509420,115331000197,https://www.shilladfs.com/estore/kr/ko/p/5509420
더바이스 오크 놀 디스트릭트 까베르네 소비뇽 2019 750ml,신세계 L&B,63.33650000000001,44.0,107.35,113.0,5.0,9,0,0.0,0,N,1221:와인/샴페인,5509117,115331000198,https://www.shilladfs.com/estore/kr/ko/p/5509117
케이머스 스페셜 셀렉션 카버네 소비뇽2019 750ml,케이머스,145.35,35.0,213.75,225.0,5.0,252,0,0.0,0,N,1221:와인/샴페인,5434540,268331000021,https://www.shilladfs.com/estore/kr/ko/p/5434540
클라세 아줄 테킬라 골드 750ml,클라세 아줄,276.108,20.0,328.7,346.0,5.0,231,1,10.0,6,Y,1226:스피릿,5502890,282931000003,https://www.shilladfs.com/estore/kr/ko/p/5502890
클라세 아줄 테킬라 아네호 750ml,클라세 아줄,712.8,20.0,712.8,891.0,20.0,114,0,0.0,6,Y,1226:스피릿,5502891,282931000004,https://www.shilladfs.com/estore/kr/ko/p/5502891
서던 컴포트 블랙 1000ml,버팔로 트레이스,11.76,51.0,11.76,24.0,51.0,11,0,0.0,6,Y,1226:스피릿,5474609,258231000008,https://www.shilladfs.com/estore/kr/ko/p/5474609
사득주 신화세트 500ml*2,사득주,74.8125,40.0,118.75,125.0,5.0,13,0,0.0,0,N,1216:중국술,5506825,067631000056,https://www.shilladfs.com/estore/kr/ko/p/5506825
사득주 신화세트 추천자 500ml*2,사득주,74.8125,40.0,118.75,125.0,5.0,14,0,0.0,0,N,1216:중국술,5506829,067631000061,https://www.shilladfs.com/estore/kr/ko/p/5506829
보 주아 브뤼 네이쳐 750ml,보 주아,73.14999999999999,34.0,104.5,110.0,5.0,39,0,0.0,6,Y,1221:와인/샴페인,5503770,280531000001,https://www.shilladfs.com/estore/kr/ko/p/5503770
