위스키명,브랜드,표시가_USD,마일리지할인율_%,할인가_USD,정상가_USD,할인율_%,누적판매,리뷰수,평점,재고,구매가능,소분류,상품코드,SKU,상품URL
닷사이 23 팁시 720ml,닷사이,,,99.0,99.0,0.0,39,0,0.0,6,Y,1227:기타 주류,5769250,282631000006,https://www.shilladfs.com/estore/kr/ko/p/5769250
패트론 엘 알토 750ml,패트론,104.2245,50.0,196.65,207.0,5.0,79,0,0.0,6,Y,1226:스피릿,5489868,122131000017,https://www.shilladfs.com/estore/kr/ko/p/5489868
더 글렌리벳 12년 1000ml,글렌리벳,38.25,49.0,38.25,75.0,49.0,108,0,0.0,6,Y,1220:싱글몰트 위스키,5615979,110431000015,https://www.shilladfs.com/estore/kr/ko/p/5615979
펀다도르 18년 1000ml,펀다도르,190.0,5.0,190.0,200.0,5.0,23,0,0.0,1,Y,1220:싱글몰트 위스키,5166837,114431000027,https://www.shilladfs.com/estore/kr/ko/p/5166837
닷사이 23 원심분리 720ml,닷사이,,,199.0,199.0,0.0,44,0,0.0,6,Y,1227:기타 주류,5658632,282631000002,https://www.shilladfs.com/estore/kr/ko/p/5658632
아케시 쇼만 700ml,아케시,192.08999999999997,43.0,320.15,337.0,5.0,104,1,10.0,6,Y,1211:블렌디드 위스키,5372475,276131000002,https://www.shilladfs.com/estore/kr/ko/p/5372475
골든블랑 CREMANT BRUT 750ml,골든블랑,26.95,51.0,26.95,55.0,51.0,108,0,0.0,6,Y,1221:와인/샴페인,5174763,254731000003,https://www.shilladfs.com/estore/kr/ko/p/5174763
라프로익 레거시 에디션 700ml,라프로익,62.78,57.0,62.78,146.0,57.0,316,1,10.0,6,Y,1220:싱글몰트 위스키,3612827,114131000014,https://www.shilladfs.com/estore/kr/ko/p/3612827
덕혼 디코이 멀롯 2022 750ml,덕혼,21.317999999999998,35.0,31.35,33.0,5.0,174,1,10.0,6,Y,1221:와인/샴페인,5442468,268331000034,https://www.shilladfs.com/estore/kr/ko/p/5442468
문배술 명작 500ml,케이전통주,52.668000000000006,47.0,94.05,99.0,5.0,33,0,0.0,6,Y,1224:한국술,5717213,955331000012,https://www.shilladfs.com/estore/kr/ko/p/5717213
그르기치 힐스 나파 밸리 샤도네이 2022 750ml,그르기치 힐스,41.989999999999995,35.0,61.75,65.0,5.0,139,0,0.0,6,Y,1221:와인/샴페인,5790188,268331000075,https://www.shilladfs.com/estore/kr/ko/p/5790188
덕혼 패러덕스 2021 750ml,덕혼,41.989999999999995,35.0,61.75,65.0,5.0,77,0,0.0,6,Y,1221:와인/샴페인,5442466,268331000033,https://www.shilladfs.com/estore/kr/ko/p/5442466
BLADNOCH 19YO 700ml,블라드녹,227.2,20.0,227.2,284.0,20.0,199,4,9.5,3,Y,1220:싱글몰트 위스키,5834297,293331000002,https://www.shilladfs.com/estore/kr/ko/p/5834297
버팔로 트레이스 버번 위스키 1000ml,버팔로 트레이스,17.669999999999998,41.0,28.5,30.0,5.0,481,1,10.0,6,Y,1211:블렌디드 위스키,5310223,258231000003,https://www.shilladfs.com/estore/kr/ko/p/5310223
보 주아 브뤼 샴페인 750ml,보 주아,36.0,55.0,36.0,80.0,55.0,111,1,10.0,6,Y,1221:와인/샴페인,5503771,280531000002,https://www.shilladfs.com/estore/kr/ko/p/5503771
이강주 프리미엄(당초) 1000ml,한국전통술,71.67999999999999,36.0,89.6,112.0,20.0,6,0,0.0,6,Y,1224:한국술,5866136,669331000141,https://www.shilladfs.com/estore/kr/ko/p/5866136
발베니 Stories Creation Classic 700ml,발베니,59.59,41.0,59.59,101.0,41.0,1401,3,10.0,6,Y,1220:싱글몰트 위스키,5108415,112231000023,https://www.shilladfs.com/estore/kr/ko/p/5108415
페넬로페 토스티드 바렐 750ml,페닐로페,35.55,55.0,35.55,79.0,55.0,86,0,0.0,6,Y,1227:기타 주류,5680512,287531000005,https://www.shilladfs.com/estore/kr/ko/p/5680512
더 글렌그란트 18년 1000ml,더 글렌그란트,115.776,40.0,172.8,192.0,10.0,986,2,10.0,0,N,1220:싱글몰트 위스키,5193075,257131000004,https://www.shilladfs.com/estore/kr/ko/p/5193075
그라함 10년 750ml,그라함,36.252,50.0,68.4,72.0,5.0,373,2,10.0,6,Y,1221:와인/샴페인,5070884,154531000002,https://www.shilladfs.com/estore/kr/ko/p/5070884
닷사이 미라이 720ml,닷사이,,,180.0,180.0,0.0,8,0,0.0,6,Y,1227:기타 주류,5875954,282631000004,https://www.shilladfs.com/estore/kr/ko/p/5875954
라프로익 12년 700ml,라프로익,42.0,40.0,42.0,70.0,40.0,48,0,0.0,6,Y,1220:싱글몰트 위스키,5917035,114131000053,https://www.shilladfs.com/estore/kr/ko/p/5917035
조니워커 18년 750ml,조니워커,56.0,50.0,56.0,112.0,50.0,1112,7,9.71428571,0,N,1211:블렌디드 위스키,3651371,046331000045,https://www.shilladfs.com/estore/kr/ko/p/3651371
테일러스 포트 와인 시티 에디션 750ml,테일러스 포트 와인,25.915999999999997,41.0,41.8,44.0,5.0,159,0,0.0,6,Y,1221:와인/샴페인,5477395,280631000001,https://www.shilladfs.com/estore/kr/ko/p/5477395
메이커스 마크 케스크 스트랭스 700ml,메이커스마크,44.308,50.0,83.6,88.0,5.0,431,0,0.0,6,Y,1211:블렌디드 위스키,5125106,109831000025,https://www.shilladfs.com/estore/kr/ko/p/5125106
도넘 카네로스 피노누아 2021 750ml,신세계 L&B,83.3,51.0,83.3,170.0,51.0,46,0,0.0,6,Y,1221:와인/샴페인,5396338,115331000191,https://www.shilladfs.com/estore/kr/ko/p/5396338
까뮤 VSOP 보더리 1000ml,까뮤,55.0,45.0,55.0,100.0,45.0,492,1,10.0,6,Y,1213:꼬냑,3347365,070031000011,https://www.shilladfs.com/estore/kr/ko/p/3347365
브룩라디 옥토모어 14.1 700ml,브룩라디,,,163.0,163.0,0.0,1891,6,10.0,0,N,1220:싱글몰트 위스키,5310713,085131000076,https://www.shilladfs.com/estore/kr/ko/p/5310713
프라팡 샤또 퐁피뇨 XO 700ml,프라팡,109.82,35.0,161.5,170.0,5.0,118,0,0.0,6,Y,1213:꼬냑,5515185,268331000045,https://www.shilladfs.com/estore/kr/ko/p/5515185
잭다니엘 시나트라 셀렉트 1000ml,잭다니엘,93.67000000000002,45.0,161.5,170.0,5.0,140,1,10.0,4,Y,1211:Blended Whisky,5070944,114931000006,https://www.shilladfs.com/estore/kr/ko/p/5070944
메이커스 마크 1000ml,메이커스마크,28.196,50.0,53.2,56.0,5.0,531,3,10.0,6,Y,1211:블렌디드 위스키,5070543,109831000005,https://www.shilladfs.com/estore/kr/ko/p/5070543
이에이치 테일러 스몰배치 750ml,버팔로 트레이스,79.8,5.0,79.8,84.0,5.0,646,1,2.0,2,Y,1211:블렌디드 위스키,5399401,258231000007,https://www.shilladfs.com/estore/kr/ko/p/5399401
더 글렌그란트 2006 프라이빗 캐스크 700ml,더 글렌그란트,98.704,50.0,159.2,199.0,20.0,186,0,0.0,0,N,1220:싱글몰트 위스키,5764516,257131000009,https://www.shilladfs.com/estore/kr/ko/p/5764516
발렌타인 21년 아티스트 에디션 5 700ml,발렌타인,116.92505,30.0,158.65,167.0,5.0,10,0,0.0,6,Y,1211:블렌디드 위스키,5945876,046131000067,https://www.shilladfs.com/estore/kr/ko/p/5945876
와일드터키 켄터키 스피릿 1L,와일드터키,39.22,47.0,39.22,74.0,47.0,162,0,0.0,6,Y,1211:블렌디드 위스키,5408280,257231000005,https://www.shilladfs.com/estore/kr/ko/p/5408280
금문 LIQU 금문고량주 12년 600ml,금문고량주,,,148.5,165.0,10.0,40,1,10.0,0,N,1216:중국술,5819123,290831000005,https://www.shilladfs.com/estore/kr/ko/p/5819123
파이퍼 하이직 에센셜 블랑 드 블랑 NV 750ml,와인나라,52.972,35.0,77.9,82.0,5.0,454,0,0.0,6,Y,1221:와인/샴페인,5290632,115431000116,https://www.shilladfs.com/estore/kr/ko/p/5290632
부쉬밀 마르사라 캐스크 21년 700ml,부쉬밀,153.7,42.0,153.7,265.0,42.0,265,2,10.0,3,Y,1220:싱글몰트 위스키,5200760,130531000021,https://www.shilladfs.com/estore/kr/ko/p/5200760
ABERLOUR 16년 700ml,발렌타인,76.7,41.0,76.7,130.0,41.0,55,0,0.0,6,Y,1220:싱글몰트 위스키,5837405,046131000061,https://www.shilladfs.com/estore/kr/ko/p/5837405
달모어 12년 1000ml,달모어,,,111.15,117.0,5.0,638,9,9.77777778,2,Y,1220:싱글몰트 위스키,3612922,114431000003,https://www.shilladfs.com/estore/kr/ko/p/3612922
글렌드로낙 10년 1000ml,글렌드로낙,41.800000000000004,48.0,76.0,80.0,5.0,558,1,10.0,6,Y,1220:싱글몰트 위스키,5088303,114931000033,https://www.shilladfs.com/estore/kr/ko/p/5088303
화요 X-1 550ml*2,화요,30.24,52.0,50.4,63.0,20.0,333,5,9.6,6,Y,1224:한국술,5156990,669331000081,https://www.shilladfs.com/estore/kr/ko/p/5156990
쿠르부아지에 XO 로얄 700ml,쿠르부아지에,150.8,48.0,150.8,290.0,48.0,64,0,0.0,6,Y,1213:꼬냑,5508490,109731000034,https://www.shilladfs.com/estore/kr/ko/p/5508490
로랑 페리에 뀌베 로제 브륏 750ml,로랑 페리에,90.05999999999999,43.0,150.1,158.0,5.0,401,2,9.0,0,N,1221:와인/샴페인,3316821,117231000002,https://www.shilladfs.com/estore/kr/ko/p/3316821
로얄살루트 21년 빈티지 블렌디드 스카치 위스키 700ml,로얄살루트,147.73165,30.0,200.45,211.0,5.0,163,0,0.0,6,Y,1211:블렌디드 위스키,5563229,110231000035,https://www.shilladfs.com/estore/kr/ko/p/5563229
브룩라디 옥토모어 15.1 700ml,브룩라디,,,167.0,167.0,0.0,740,2,10.0,6,Y,1220:싱글몰트 위스키,5611045,085131000102,https://www.shilladfs.com/estore/kr/ko/p/5611045
랑주 청화랑 500ml,랑주,89.1765,40.0,141.55,149.0,5.0,160,1,10.0,6,Y,1216:중국술,5526753,067631000062,https://www.shilladfs.com/estore/kr/ko/p/5526753
샴페인 빌까르 살몽 르 수 부아 750ml,빌까르 살몽,93.66999999999999,35.0,137.75,145.0,5.0,3,0,0.0,6,Y,1221:와인/샴페인,5952348,268331000086,https://www.shilladfs.com/estore/kr/ko/p/5952348
루이 자도 르 끌로 블랑 2021 750ml,신세계 L&B,91.65599999999999,40.0,136.8,152.0,10.0,4,0,0.0,0,N,1221:와인/샴페인,5399050,115331000193,https://www.shilladfs.com/estore/kr/ko/p/5399050
팔린다 와인 소비뇽 레드(2011년) 750ml & 바이오니어 레드(2015년) 750ml,팔린다 와인,82.08,43.0,136.8,144.0,5.0,2,0,0.0,6,Y,1221:와인/샴페인,5157074,255131000012,https://www.shilladfs.com/estore/kr/ko/p/5157074
그라함 LBV 포트 1000ml,그라함,20.643500000000003,50.0,38.95,41.0,5.0,240,1,10.0,6,Y,1221:와인/샴페인,5222076,154531000005,https://www.shilladfs.com/estore/kr/ko/p/5222076
Junpin Xijiu 500ml,시주,85.5855,40.0,135.85,143.0,5.0,47,0,0.0,0,N,1216:중국술,5798300,284531000006,https://www.shilladfs.com/estore/kr/ko/p/5798300
양허 몽지람 말띠 52% 550ml,양허,110.92200000000001,20.0,132.05,139.0,5.0,15,0,0.0,0,N,1216:중국술,5968418,067631000084,https://www.shilladfs.com/estore/kr/ko/p/5968418
페닐로페 로제 케스크 750ml,페닐로페,32.93,63.0,32.93,89.0,63.0,62,1,10.0,6,Y,1227:기타 주류,5680553,287531000001,https://www.shilladfs.com/estore/kr/ko/p/5680553
아드벡 언 오 1000ml,아드벡,,,65.6,82.0,20.0,113,0,0.0,6,Y,1220:싱글몰트 위스키,5388184,108631000023,https://www.shilladfs.com/estore/kr/ko/p/5388184
클라우디 베이 테 와히 750ml,클라우디 베이,,,64.35,99.0,35.0,59,0,0.0,6,Y,1221:와인/샴페인,5454441,108931000076,https://www.shilladfs.com/estore/kr/ko/p/5454441
보 주아 브뤼 로제 샴페인 750ml,보 주아,67.5,50.0,67.5,135.0,50.0,49,0,0.0,6,Y,1221:와인/샴페인,5503694,280531000003,https://www.shilladfs.com/estore/kr/ko/p/5503694
호세쿠엘보 1800 크리스탈리노 아네호 700ml,호세쿠엘보,40.0995,40.0,63.65,67.0,5.0,109,0,0.0,6,Y,1226:스피릿,5200755,130531000012,https://www.shilladfs.com/estore/kr/ko/p/5200755
듀어스 더블더블 20년 500ml,듀어스,70.756,47.0,126.35,133.0,5.0,717,5,10.0,0,N,1211:블렌디드 위스키,5268250,113531000068,https://www.shilladfs.com/estore/kr/ko/p/5268250
조니워커 블랙 트리플 캐스크 1000ml,조니워커,31.5,50.0,31.5,63.0,50.0,322,0,0.0,6,Y,1211:블렌디드 위스키,5082567,046331000049,https://www.shilladfs.com/estore/kr/ko/p/5082567
고창명산품복분자 500ml,한국전통술,19.840000000000003,36.0,24.8,31.0,20.0,18,0,0.0,6,Y,1224:한국술,5869244,669331000070,https://www.shilladfs.com/estore/kr/ko/p/5869244
볼랭저 PN TX 2020 750ml,볼랭저,124.0,20.0,124.0,155.0,20.0,48,0,0.0,6,Y,1221:와인/샴페인,5804874,292831000006,https://www.shilladfs.com/estore/kr/ko/p/5804874
PAUL JOHN PEATED 올로로소 700ml,폴 존,123.75,55.0,123.75,275.0,55.0,44,0,0.0,6,Y,1220:싱글몰트 위스키,5461900,249031000057,https://www.shilladfs.com/estore/kr/ko/p/5461900
더 글렌리벳 19년 700ml,글렌리벳,91.39,30.0,123.5,130.0,5.0,278,0,0.0,0,N,1220:싱글몰트 위스키,5828030,110431000037,https://www.shilladfs.com/estore/kr/ko/p/5828030
카발란 콘서트마스터 1000ml,카발란,52.800000000000004,40.0,70.4,88.0,20.0,283,0,0.0,6,Y,1220:싱글몰트 위스키,5101466,249031000001,https://www.shilladfs.com/estore/kr/ko/p/5101466
몰트락 16년 750ml,몰트락,73.53,43.0,122.55,129.0,5.0,250,2,10.0,0,N,1220:싱글몰트 위스키,5082282,111231000018,https://www.shilladfs.com/estore/kr/ko/p/5082282
달위니 15년 1000ml,달위니,65.15100000000001,49.0,120.65,127.0,5.0,538,0,0.0,6,Y,1220:싱글몰트 위스키,5082286,111231000021,https://www.shilladfs.com/estore/kr/ko/p/5082286
펠러 까베르네 프랑 아이스 와인 375ml,펠러,62.04,53.0,62.04,132.0,53.0,36,0,0.0,6,Y,1221:와인/샴페인,5071015,117631000002,https://www.shilladfs.com/estore/kr/ko/p/5071015
사득주 도전자 세트 500ml*2,사득주,74.8125,40.0,118.75,125.0,5.0,14,0,0.0,6,Y,1216:중국술,5531043,067631000068,https://www.shilladfs.com/estore/kr/ko/p/5531043
에버펠디 16년 마데이라 700ml,에버펠디,64.125,49.0,118.75,125.0,5.0,251,0,0.0,6,Y,1220:싱글몰트 위스키,5336801,113531000080,https://www.shilladfs.com/estore/kr/ko/p/5336801
조야 천연유자 과실주 750ml,조야,10.78,51.0,10.78,22.0,51.0,173,1,10.0,6,Y,1221:와인/샴페인,5249009,112431000009,https://www.shilladfs.com/estore/kr/ko/p/5249009
닷사이 쇼츄 720ml,닷사이,,,59.0,59.0,0.0,82,0,0.0,6,Y,1227:기타 주류,5658065,282631000005,https://www.shilladfs.com/estore/kr/ko/p/5658065
토마틴 16년 700ml,토마틴,38.95,59.0,38.95,95.0,59.0,131,0,0.0,6,Y,1220:싱글몰트 위스키,5310222,270131000003,https://www.shilladfs.com/estore/kr/ko/p/5310222
미클토어 오리지널 700ml,미클토어,38.64,58.0,38.64,92.0,58.0,16,0,0.0,6,Y,1220:싱글몰트 위스키,5418558,275831000003,https://www.shilladfs.com/estore/kr/ko/p/5418558
우드포드 리저브 Kentucky Derby 적마 에디션 1000ml,우드포드 리저브,35.339999999999996,41.0,57.0,60.0,5.0,159,0,0.0,6,Y,1211:블렌디드 위스키,5070956,114931000012,https://www.shilladfs.com/estore/kr/ko/p/5070956
펜폴즈 FWT585 테마틱 2022 750ml,펜폴즈,79.8,34.0,114.0,120.0,5.0,2,0,0.0,3,Y,1221:와인/샴페인,5819196,195231000057,https://www.shilladfs.com/estore/kr/ko/p/5819196
Old Pulteney 16 Years Old 700ml,올드풀트니,77.52,35.0,114.0,120.0,5.0,37,0,0.0,6,Y,1220:싱글몰트 위스키,5865719,265831000010,https://www.shilladfs.com/estore/kr/ko/p/5865719
보 주아 슈가킹 데미섹 샴페인 750ml,보 주아,68.39999999999999,43.0,114.0,120.0,5.0,67,0,0.0,6,Y,1221:와인/샴페인,5503695,280531000004,https://www.shilladfs.com/estore/kr/ko/p/5503695
Balblair 15 Years Old 1000ml,발블레어,68.625,45.0,112.5,125.0,10.0,14,0,0.0,6,Y,1220:싱글몰트 위스키,5865409,265731000006,https://www.shilladfs.com/estore/kr/ko/p/5865409
웰러 스페셜 리저브 750ml,버팔로 트레이스,54.72,43.0,54.72,96.0,43.0,94,0,0.0,6,Y,1211:블렌디드 위스키,5676433,258231000022,https://www.shilladfs.com/estore/kr/ko/p/5676433
화이트헤더 15년 700ml,화이트헤더,54.18,57.0,54.18,126.0,57.0,26,0,0.0,6,Y,1211:블렌디드 위스키,5372580,276031000001,https://www.shilladfs.com/estore/kr/ko/p/5372580
와일드터키 켄터키 스피릿 750ml,와일드터키,42.7785,25.0,54.15,57.0,5.0,77,0,0.0,2,Y,1226:스피릿,5530607,257231000006,https://www.shilladfs.com/estore/kr/ko/p/5530607
Balblair 17 Years Old 700ml,발블레어,97.722,45.0,160.2,178.0,10.0,19,0,0.0,6,Y,1220:싱글몰트 위스키,5865411,265731000007,https://www.shilladfs.com/estore/kr/ko/p/5865411
도넘 이스트 슬롭 피노누아 2021 750ml,신세계 L&B,106.5,50.0,106.5,213.0,50.0,57,0,0.0,6,Y,1221:와인/샴페인,5396337,115331000192,https://www.shilladfs.com/estore/kr/ko/p/5396337
벨루가 골드라인 1000ml,벨루가,104.5,50.0,104.5,209.0,50.0,57,0,0.0,6,Y,1226:스피릿,5070900,155231000007,https://www.shilladfs.com/estore/kr/ko/p/5070900
씨앤씨 버지니아 하이랜드 위스키 포트 캐스크 피니시 750ml,씨앤씨,34.78,53.0,34.78,74.0,53.0,16,0,0.0,5,Y,1220:싱글몰트 위스키,5359021,276831000002,https://www.shilladfs.com/estore/kr/ko/p/5359021
PAUL JOHN UNPEATED 올로로소 700ml,폴 존,103.5,55.0,103.5,230.0,55.0,65,0,0.0,6,Y,1220:싱글몰트 위스키,5461899,249031000056,https://www.shilladfs.com/estore/kr/ko/p/5461899
사락골드 500ml,케이전통주,19.152000000000005,47.0,34.2,36.0,5.0,38,0,0.0,6,Y,1224:한국술,5839582,955331000026,https://www.shilladfs.com/estore/kr/ko/p/5839582
국교 1573 선물세트 52% 375ml,국교1573,88.23599999999999,18.0,102.6,108.0,5.0,100,0,0.0,0,N,1216:중국술,5669474,284531000004,https://www.shilladfs.com/estore/kr/ko/p/5669474
아마하간 World Malt Editon No.5 700ml,아마하간,54.918000000000006,51.0,101.7,113.0,10.0,33,0,0.0,6,Y,1211:블렌디드 위스키,5232836,263231000003,https://www.shilladfs.com/estore/kr/ko/p/5232836
와일드무어 23년 웨이킹 포레스트 700ml,와일드무어,101.52,46.0,101.52,188.0,46.0,127,0,0.0,6,Y,1211:블렌디드 위스키,5399821,279331000002,https://www.shilladfs.com/estore/kr/ko/p/5399821
탐나불린 SB 1000ml,탐나불린,26.712,52.0,50.4,56.0,10.0,102,2,9.0,6,Y,1220:싱글몰트 위스키,5462651,114431000096,https://www.shilladfs.com/estore/kr/ko/p/5462651
와일드터키 101 1000ml,와일드터키,24.96,48.0,24.96,48.0,48.0,415,3,10.0,6,Y,1211:블렌디드 위스키,5173368,257231000002,https://www.shilladfs.com/estore/kr/ko/p/5173368
폴 존 올로로소 쉐리 700ml,폴 존,52.8675,50.0,99.75,105.0,5.0,165,0,0.0,0,N,1220:싱글몰트 위스키,5312120,249031000024,https://www.shilladfs.com/estore/kr/ko/p/5312120
더 글렌그란트 10년 1000ml,더 글렌그란트,29.759999999999998,52.0,49.6,62.0,20.0,216,1,10.0,6,Y,1220:싱글몰트 위스키,5173311,257131000003,https://www.shilladfs.com/estore/kr/ko/p/5173311
레미마틴 Club Exception 1000ml,레미마틴,95.4,47.0,95.4,180.0,47.0,64,1,10.0,6,Y,1213:꼬냑,5186309,085131000065,https://www.shilladfs.com/estore/kr/ko/p/5186309
오초 데킬라 레포사도 750ml,와인나라,66.538,35.0,97.85,103.0,5.0,28,0,0.0,6,Y,1226:스피릿,5641779,274231000025,https://www.shilladfs.com/estore/kr/ko/p/5641779
쿨일라 12년 750ml,쿨일라,53.8175,48.0,97.85,103.0,5.0,114,0,0.0,6,Y,1220:싱글몰트 위스키,5082284,111131000010,https://www.shilladfs.com/estore/kr/ko/p/5082284
글렌피딕 XX 700ml,글렌피딕,48.76,47.0,48.76,92.0,47.0,244,2,9.0,6,Y,1220:싱글몰트 위스키,5437409,082331000052,https://www.shilladfs.com/estore/kr/ko/p/5437409
글렌알라키 9년 도우로밸리 700ml,글렌알라키,50.544000000000004,53.0,97.2,108.0,10.0,257,1,10.0,0,N,1220:싱글몰트 위스키,5330414,265631000004,https://www.shilladfs.com/estore/kr/ko/p/5330414
쟝 미쉘 까즈 미쉘린치 프레스티지 생에밀리온 750ml,쟝 미쉘 까즈,20.994999999999997,38.0,32.3,34.0,5.0,41,0,0.0,2,Y,1221:와인/샴페인,5104883,117931000007,https://www.shilladfs.com/estore/kr/ko/p/5104883
산토리 토키 1000ml,산토리,25.194000000000003,51.0,48.45,51.0,5.0,125,0,0.0,6,Y,1211:블렌디드 위스키,5549144,114131000044,https://www.shilladfs.com/estore/kr/ko/p/5549144
까베르네 소비뇽 750ml,조셉펠프스,,,96.9,102.0,5.0,208,0,0.0,6,Y,1221:와인/샴페인,5490111,108931000089,https://www.shilladfs.com/estore/kr/ko/p/5490111
앙리 지로 하타피아 솔레라 500ml,앙리 지로,48.24,33.0,48.24,72.0,33.0,67,0,0.0,6,Y,1221:와인/샴페인,5531349,250231000005,https://www.shilladfs.com/estore/kr/ko/p/5531349
한주매화 700ml,한국전통술,25.6,36.0,32.0,40.0,20.0,15,0,0.0,6,Y,1224:한국술,5866131,669331000133,https://www.shilladfs.com/estore/kr/ko/p/5866131
에버펠디 12년 마데이라 캐스크 700ml,에버펠디,33.231,50.0,62.7,66.0,5.0,117,0,0.0,6,Y,1220:싱글몰트 위스키,5490012,113531000083,https://www.shilladfs.com/estore/kr/ko/p/5490012
시크릿 스페이사이드 Longmorn 18년 700ml,글렌리벳,70.3,30.0,95.0,100.0,5.0,439,3,7.33333333,6,Y,1220:싱글몰트 위스키,5065830,110431000022,https://www.shilladfs.com/estore/kr/ko/p/5065830
맥탈라 올드퍼스 더 오리지널 700ml,맥탈라,23.65,57.0,23.65,55.0,57.0,22,0,0.0,6,Y,1220:싱글몰트 위스키,5311849,249031000019,https://www.shilladfs.com/estore/kr/ko/p/5311849
까뮤 SPECIAL DRY Borderies 500ml,까뮤,58.528000000000006,50.0,94.4,118.0,20.0,120,3,9.33333333,6,Y,1213:꼬냑,5406625,070031000045,https://www.shilladfs.com/estore/kr/ko/p/5406625
헤네시 XO 350ml,헤네시,,,93.75,125.0,25.0,192,0,0.0,0,N,1213:꼬냑,5786501,086931000113,https://www.shilladfs.com/estore/kr/ko/p/5786501
GLENGOINE 12yo First-Fill Edition 1000ml,글렌고인,46.61,41.0,46.61,79.0,41.0,26,0,0.0,6,Y,1220:싱글몰트 위스키,5865404,294531000001,https://www.shilladfs.com/estore/kr/ko/p/5865404
1792 스몰 배치 1000ml,버팔로 트레이스,24.5,50.0,24.5,49.0,50.0,10,0,0.0,6,Y,1226:스피릿,5942683,258231000029,https://www.shilladfs.com/estore/kr/ko/p/5942683
문배술 700ml,케이전통주,26.068,47.0,46.55,49.0,5.0,16,0,0.0,6,Y,1224:한국술,5717420,955331000010,https://www.shilladfs.com/estore/kr/ko/p/5717420
오이스터 베이 소비뇽 블랑 750ml,와인나라,16.644,31.0,22.8,24.0,5.0,236,0,0.0,6,Y,1221:와인/샴페인,5071042,115431000035,https://www.shilladfs.com/estore/kr/ko/p/5071042
잭다니엘 본디드 1000ml,잭다니엘,26.448000000000004,45.0,45.6,48.0,5.0,51,0,0.0,6,Y,1211:블렌디드 위스키,5712650,114931000068,https://www.shilladfs.com/estore/kr/ko/p/5712650
글렌모렌지 인피니타 18년 700ml,글렌모렌지,,,90.0,120.0,25.0,549,1,6.0,2,Y,1220:싱글몰트 위스키,5713332,108631000047,https://www.shilladfs.com/estore/kr/ko/p/5713332
참이슬후레쉬 200ml*5,한국전통술,4.4799999999999995,36.0,5.6,7.0,20.0,17,0,0.0,6,Y,1224:한국술,5952333,669331000054,https://www.shilladfs.com/estore/kr/ko/p/5952333
토브렉 팩터 2021 750ml,토브렉,89.57,47.0,89.57,169.0,47.0,68,1,10.0,6,Y,1221:와인/샴페인,5523026,284831000002,https://www.shilladfs.com/estore/kr/ko/p/5523026
마텔 브이에스오피 1000ml,마텔,55.062000000000005,40.0,87.4,92.0,5.0,23,0,0.0,6,Y,1213:꼬냑,5582821,110631000044,https://www.shilladfs.com/estore/kr/ko/p/5582821
TAMDHU 14yo Ambar Vintage 2009 700ml,탐두,76.45,45.0,76.45,139.0,45.0,59,0,0.0,6,Y,1220:싱글몰트 위스키,5865403,294531000006,https://www.shilladfs.com/estore/kr/ko/p/5865403
폴 존 피티드 1000ml,폴 존,42.0,58.0,42.0,100.0,58.0,69,0,0.0,6,Y,1220:싱글몰트 위스키,5311922,249031000023,https://www.shilladfs.com/estore/kr/ko/p/5311922
뉴리프 싱글배럴 버번 750ml,뉴리프,70.22399999999999,20.0,83.6,88.0,5.0,51,0,0.0,6,Y,1211:블렌디드 위스키,5917130,295531000004,https://www.shilladfs.com/estore/kr/ko/p/5917130
오초 데킬라 플라타 750ml,와인나라,56.84799999999999,35.0,83.6,88.0,5.0,28,0,0.0,6,Y,1226:스피릿,5641780,274231000024,https://www.shilladfs.com/estore/kr/ko/p/5641780
로랑페리에 밀레짐 2015 750ml,로랑 페리에,83.2,35.0,83.2,128.0,35.0,520,0,0.0,0,N,1221:와인/샴페인,5486462,117231000010,https://www.shilladfs.com/estore/kr/ko/p/5486462
와일드터키101 라이 1000ml,와일드터키,20.7,55.0,20.7,46.0,55.0,46,0,0.0,6,Y,1211:블렌디드 위스키,5690489,257231000009,https://www.shilladfs.com/estore/kr/ko/p/5690489
인드리 700ml,인드리,27.5,50.0,27.5,55.0,50.0,23,0,0.0,6,Y,1220:싱글몰트 위스키,5360892,276731000001,https://www.shilladfs.com/estore/kr/ko/p/5360892
타케츠루 퓨어 몰트 그란데 700ml,닛카 위스키,87.78,20.0,104.5,110.0,5.0,206,3,9.33333333,6,Y,1211:블렌디드 위스키,5804867,292531000003,https://www.shilladfs.com/estore/kr/ko/p/5804867
시바스리갈 13년 Rum Cask 1000ml,시바스리갈,27.26,53.0,27.26,58.0,53.0,57,1,10.0,6,Y,1211:블렌디드 위스키,5075762,110331000028,https://www.shilladfs.com/estore/kr/ko/p/5075762
파이퍼 하이직 에센셜 블랑 드 누아 NV 750ml,와인나라,55.556,35.0,81.7,86.0,5.0,337,0,0.0,6,Y,1221:와인/샴페인,5290631,115431000115,https://www.shilladfs.com/estore/kr/ko/p/5290631
패터캐른 WH 14 700ml,패터캐른,42.120000000000005,53.0,81.0,90.0,10.0,53,3,10.0,6,Y,1220:싱글몰트 위스키,5219290,114431000091,https://www.shilladfs.com/estore/kr/ko/p/5219290
탈리스커 10년 1L ,탈리스커,48.449999999999996,43.0,80.75,85.0,5.0,328,0,0.0,6,Y,1220:싱글몰트 위스키,5604485,111131000024,https://www.shilladfs.com/estore/kr/ko/p/5604485
